Place	number
Abbeyhill	19
Aberavon	85
Aberdare	86
Aberdeen	7
Aberderfyn	75
Abergavenny	91
Abernethy	5
Aikbank 20g	20
Airdrie	16
Airth	6
Albert Road	114
Aldeby	73
Alexandra Parade	15
Alloa	6
Alphington	115
Alves	3
Angarrack	111
Anlaby Road	63
Arbroath	2
Ardler	8
Ardler	9
Argyle Street	88
Arkleby 20g	20
Ashby Road	62
Ashleigh Road	88
Ashley Hill	121
Ashover	59
Ashton-u-Lyne	53
Aspatria 20g	20
Attimore Hall	72
Auchterhouse	9
Audenshaw	53
Avon Lodge	125
Avonmouth	121
Ayot	72
Backworth	26
Bagworth	62
Balbeuchly	9
Baldovan	9
Baldragon	9
Balmossie	4
Balsham Road	70
Barnhill	15
Barnsbury	101
Barnton	19
Bathgate	16
Batley	55
Battersea	109
Beach Street	88
Beag Fair	81
Beddgelert	76
Bedlay	16
Beechburn	30
Bellahouston	15
Belle Vue (Sand Hutton)	40
Bellgrove	15
Belmont	32
Benton	26
Bents	16
Berwig	75
Bethnal Green	107
Bettws Garmon	76
Beulah	81
Biddick Lane	34
Bilson	94
Birkenhead	46
Birchgrove Swansea	44
Birmingham	99
Birtley	34
Bishop Auckland	31
Black Lion Crossing	86
Blackhall Motherwell	16
Blackhill	28
Blackpill	88
Blaenau Festiniog	78
Blodwell Junction	80
Bodmin	113
Boldon	25
Bond Street Swansea	88
Bo'ness	14
Bonnington	19
Bonnybridge	11
Boscarne	113
Boscombe	125
Bossall	40
Boston Lodge	76
Botanic Gardens	63
Bothlin	16
Bourne Bridge	70
Bournemouth	125
Bow	108
Bow & Bromley	108
Bowes Bridge	27
Bowling (Bradford)	54
Bradford	54
Branksome	125
Braunston	62
Brayton 20g	20
Brendon Hill	117
Brettell Lane	96
Bridge of Earn	5
Bridgeton	15
Brightside	57
Bristol	121
Briton Ferry	85
Broadstairs	131
Broadstone	125
Brockenhurst	125
Brockley Whins	25
Brockley Whins	24
Brockmoor	96
Bromford Forge	99
Bromley W Mids	96
Brook Street	75
Brookfield 20g	20
Broughton Skeog	17
Broughty Ferry	4
Brymbo	75
Brynmill	88
Bullgill 20g	20
Bullo Cross	94
Burnhill	30
Byers Green	33
Cadoxton	87b
Caergwrle	16
Caernarvon	77
Caerphilly	92
Cairney	18
Cairnhill Bridge	16
Calder Ironworks	16
Caledonian Road	101
Camborne	111
Cambridge	70
Cambridge	70
Camden Road/ Town	101
Camels Head	114
Camp Hill	99
Cannon Street Road	108
Canonbury	101
Cardiff	84
Cargo Fleet	43
Carlisle	20
Carluke	16
Carn Brea	111
Carrhouse	28
Castle Mill	79
Castlebythe	81
Castlecary	11
Causewayend	14
Causewayend	17
Cemetery Hull	63
Chalk Farm	101
Charlton Bristol	121
Chatham	129
Cherry Hinton	70
Chesterfield Road	59
Chesterford	70
Chickenley Heath	55
Chirk	79
Chittening	121
Christchurch	125
Chryston	16
Cinderford	94
Clapham	110
Clapham Junction	109
Clarbeston Road	81
Clarkston	16
Clay Cross	59
Clay Lane	59
Cleveland Port	43
Clifton Down	121
Clunderwen	81
Clydach-on-Tawe	88
Clyst St Mary	115
Coatbridge	16
Coed Poeth	75
Cogan	87b
Cold Rowley	30
Cold Rowley	28
Coleburn	3
Collessie	5
Combe Row	117
Commercial Docks	105
Commercial Street	86
Compton	96
Consett	28
Copperas Hill	21
Copperhouse	111
